RANK	DB	ID	ALT_ID	CONSENSUS	TP	TP%	FP	FP%	ENR_RATIO	SCORE_THR	PVALUE	LOG_PVALUE	EVALUE	LOG_EVALUE	QVALUE	LOG_QVALUE
1	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_53		TGTKKHTKT	506	69.79	3775	58.26	1.2	4.6	1.04e-4	-9.17	2.67e-2	-3.62	5.73e-3	-5.16
2	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_39		AAAAAAAAM	602	83.03	4563	70.42	1.18	2.4	1.07e-4	-9.14	2.74e-2	-3.60	5.73e-3	-5.16
3	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_187		TTTTTHTTT	530	73.10	3983	61.47	1.19	3.8	1.33e-4	-8.93	3.40e-2	-3.38	5.73e-3	-5.16
4	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_160		TTTWTKTTA	617	85.10	4723	72.89	1.17	2.8	2.09e-4	-8.47	5.34e-2	-2.93	5.73e-3	-5.16
5	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_202		WTDTWMTTW	651	89.79	5011	77.33	1.16	0.063	2.34e-4	-8.36	5.99e-2	-2.82	5.73e-3	-5.16
6	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_20		TKTTTKKWW	569	78.48	4339	66.96	1.17	4	2.61e-4	-8.25	6.69e-2	-2.70	5.73e-3	-5.16
7	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_97		TTTKWTTTT	661	91.17	5115	78.94	1.16	0.55	3.33e-4	-8.01	8.53e-2	-2.46	6.26e-3	-5.07
8	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_237		AWNAMADMW	638	88.00	4932	76.11	1.16	3.5	3.81e-4	-7.87	9.76e-2	-2.33	6.27e-3	-5.07
9	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_190		TTGTTTATG	482	66.48	3668	56.60	1.18	2.8	6.18e-4	-7.39	1.58e-1	-1.84	8.97e-3	-4.71
10	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_155		KRTTTTTTT	537	74.07	4128	63.70	1.16	0.092	6.82e-4	-7.29	1.75e-1	-1.75	8.97e-3	-4.71
