RANK	DB	ID	ALT_ID	CONSENSUS	TP	TP%	FP	FP%	ENR_RATIO	SCORE_THR	PVALUE	LOG_PVALUE	EVALUE	LOG_EVALUE	QVALUE	LOG_QVALUE
1	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_194		WGTKDTTTK	595	82.07	4454	68.73	1.19	3.8	3.89e-5	-10.15	9.96e-3	-4.61	3.99e-3	-5.52
2	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_204		WTTTTTTTH	599	82.62	4573	70.57	1.17	2.4	2.04e-4	-8.50	5.22e-2	-2.95	5.77e-3	-5.16
3	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_252		AAATTMWAR	570	78.62	4359	67.27	1.17	2.6	3.23e-4	-8.04	8.28e-2	-2.49	5.77e-3	-5.16
4	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_96		AANAWAAWW	654	90.21	5063	78.13	1.15	1.4	3.69e-4	-7.90	9.45e-2	-2.36	5.77e-3	-5.16
5	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_150		TTTTTTSTT	662	91.31	5130	79.17	1.15	0.12	3.72e-4	-7.90	9.52e-2	-2.35	5.77e-3	-5.16
6	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_192		WWYYGKTTK	649	89.52	5026	77.56	1.15	3.3	3.98e-4	-7.83	1.02e-1	-2.28	5.77e-3	-5.16
7	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_167		WWTKDTTWD	648	89.38	5028	77.59	1.15	2.5	4.71e-4	-7.66	1.21e-1	-2.11	5.77e-3	-5.16
8	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_24		VNCACCMRG	209	28.83	1448	22.35	1.29	6.5	4.76e-4	-7.65	1.22e-1	-2.10	5.77e-3	-5.16
9	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_182		TTKTTTGTT	656	90.48	5105	78.78	1.15	0.62	5.57e-4	-7.49	1.43e-1	-1.95	5.77e-3	-5.16
10	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_217		DTTTTMTTK	642	88.55	4989	76.99	1.15	1.3	5.63e-4	-7.48	1.44e-1	-1.94	5.77e-3	-5.16
11	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_40		YNCHGMBHT	332	45.79	2457	37.92	1.21	6.2	8.85e-4	-7.03	2.26e-1	-1.49	7.01e-3	-4.96
12	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_21		NAWTTTSAT	658	90.76	5157	79.58	1.14	0.83	9.64e-4	-6.94	2.47e-1	-1.40	7.01e-3	-4.96
13	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_156		TKYTKATGK	617	85.10	4818	74.35	1.14	3	1.02e-3	-6.89	2.61e-1	-1.34	7.01e-3	-4.96
14	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_95		TKTKTCWAT	465	64.14	3555	54.86	1.17	4.3	1.02e-3	-6.88	2.62e-1	-1.34	7.01e-3	-4.96
15	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_155		TTTTKBWDT	584	80.55	4543	70.11	1.15	0.48	1.03e-3	-6.88	2.63e-1	-1.34	7.01e-3	-4.96
16	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_109		NGTKTMTGW	644	88.83	5060	78.09	1.14	2.9	1.31e-3	-6.64	3.35e-1	-1.09	7.33e-3	-4.92
17	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_187		TWKKRWKTW	582	80.28	4542	70.09	1.15	3.1	1.32e-3	-6.63	3.38e-1	-1.09	7.33e-3	-4.92
18	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_179		DTTKKTTYK	671	92.55	5289	81.62	1.13	2.5	1.36e-3	-6.60	3.48e-1	-1.06	7.33e-3	-4.92
19	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_64		ARAATCRWH	681	93.93	5373	82.92	1.13	1.9	1.36e-3	-6.60	3.48e-1	-1.05	7.33e-3	-4.92
20	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_151		AWTTTTTTW	516	71.17	4003	61.77	1.15	1.6	1.58e-3	-6.45	4.05e-1	-0.90	7.90e-3	-4.84
21	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_52		AATWRTWDY	599	82.62	4701	72.55	1.14	3.3	1.71e-3	-6.37	4.38e-1	-0.83	7.90e-3	-4.84
22	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_215		RAAATDGDN	561	77.38	4387	67.70	1.14	4.3	1.82e-3	-6.31	4.65e-1	-0.77	7.90e-3	-4.84
23	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_57		YHTTTAYMT	651	89.79	5142	79.35	1.13	0.11	1.84e-3	-6.30	4.71e-1	-0.75	7.90e-3	-4.84
24	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_227		TTTCAWWTH	675	93.10	5346	82.50	1.13	1.7	1.90e-3	-6.27	4.86e-1	-0.72	7.90e-3	-4.84
25	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_38		AAMAKWVTK	633	87.31	5000	77.16	1.13	2.7	2.10e-3	-6.17	5.37e-1	-0.62	7.90e-3	-4.84
26	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_12		TWTKTAADN	531	73.24	4146	63.98	1.15	2.8	2.11e-3	-6.16	5.41e-1	-0.61	7.90e-3	-4.84
27	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_126		HBTTTWAYM	680	93.79	5400	83.33	1.13	0.93	2.24e-3	-6.10	5.74e-1	-0.56	7.90e-3	-4.84
28	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_44		DHATGDWTT	656	90.48	5199	80.23	1.13	2	2.27e-3	-6.09	5.82e-1	-0.54	7.90e-3	-4.84
29	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_186		GKYNHCVAT	603	83.17	4756	73.40	1.13	3.8	2.35e-3	-6.05	6.03e-1	-0.51	7.90e-3	-4.84
30	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_125		ADAKTGTAT	577	79.59	4538	70.03	1.14	3.8	2.36e-3	-6.05	6.03e-1	-0.51	7.90e-3	-4.84
31	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_8		NTHGYWTAK	366	50.48	2784	42.96	1.18	5.8	2.42e-3	-6.02	6.19e-1	-0.48	7.90e-3	-4.84
32	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_7		TTRSWAWTW	679	93.66	5399	83.32	1.12	0.2	2.48e-3	-6.00	6.35e-1	-0.45	7.90e-3	-4.84
33	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_83		RWBTKTRAH	532	73.38	4168	64.32	1.14	4.4	2.62e-3	-5.95	6.70e-1	-0.40	7.90e-3	-4.84
34	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_114		DTYKBMTWA	535	73.79	4194	64.72	1.14	3.9	2.65e-3	-5.93	6.79e-1	-0.39	7.90e-3	-4.84
35	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_5		TWTHGWGTK	627	86.48	4968	76.67	1.13	3.2	2.73e-3	-5.90	6.99e-1	-0.36	7.90e-3	-4.84
36	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_122		TTYTRAWWT	609	84.00	4819	74.37	1.13	2	2.82e-3	-5.87	7.23e-1	-0.32	7.90e-3	-4.84
37	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_189		YGSAATWTA	655	90.34	5207	80.35	1.12	2.7	2.85e-3	-5.86	7.31e-1	-0.31	7.90e-3	-4.84
38	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_28		DVTRMAAWD	658	90.76	5238	80.83	1.12	2.8	3.08e-3	-5.78	7.90e-1	-0.24	8.17e-3	-4.81
39	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_3		AVAAWWWGD	565	77.93	4459	68.81	1.13	3.8	3.25e-3	-5.73	8.31e-1	-0.18	8.17e-3	-4.81
40	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_195		DGWKTYVTB	375	51.72	2875	44.37	1.17	5.9	3.30e-3	-5.71	8.45e-1	-0.17	8.17e-3	-4.81
41	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_218		HRTTKKRTN	643	88.69	5117	78.97	1.12	3	3.32e-3	-5.71	8.51e-1	-0.16	8.17e-3	-4.81
42	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_213		DHMADRATG	652	89.93	5195	80.17	1.12	3.2	3.42e-3	-5.68	8.75e-1	-0.13	8.17e-3	-4.81
43	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_210		ATWTAATWW	597	82.34	4732	73.02	1.13	1.7	3.44e-3	-5.67	8.81e-1	-0.13	8.17e-3	-4.81
44	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_168		TKTWDSWVA	629	86.76	5003	77.21	1.12	3.5	3.51e-3	-5.65	8.99e-1	-0.11	8.17e-3	-4.81
45	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_26		ATTATTTTT	451	62.21	3519	54.31	1.15	1.5	4.07e-3	-5.51	1.04e0	0.04	9.15e-3	-4.69
46	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_139		AATTKRMKN	648	89.38	5175	79.86	1.12	2.4	4.11e-3	-5.49	1.05e0	0.05	9.15e-3	-4.69
47	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_234		HATGHTKNB	625	86.21	4989	76.99	1.12	3.1	4.58e-3	-5.39	1.17e0	0.16	9.99e-3	-4.61
48	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_108		GMCAAWRTG	647	89.24	5179	79.92	1.12	2.9	4.84e-3	-5.33	1.24e0	0.21	1.03e-2	-4.57
49	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_133		WDYRRWTRT	662	91.31	5310	81.94	1.11	2.5	5.10e-3	-5.28	1.30e0	0.27	1.05e-2	-4.56
50	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_153		TTTKGRARW	622	85.79	4972	76.73	1.12	3.3	5.12e-3	-5.27	1.31e0	0.27	1.05e-2	-4.56
51	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_20		WKTRATRAT	638	88.00	5109	78.84	1.12	1.3	5.24e-3	-5.25	1.34e0	0.29	1.05e-2	-4.55
